Total sessions: 122
Session ID: 787f367a-bcc1-402c-9c97-aa37c5867ed6, User ID: default-user, Query: Why are BT-115 sales dropping so fast?
Session ID: 0302b291-106e-47b0-8a9e-bb23455cf35d, User ID: default-user, Query: Which products should I discount?
Session ID: 7ff714d5-eaa5-4fd7-a7a4-86efd5393b9b, User ID: default-user, Query: Which products should I discount?
Session ID: b8fb07bb-4074-4d9c-91d7-5f43e77c57b0, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 72a8f1d9-f041-4114-8ba3-ea6d2778d01a, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 9f12f83a-29f8-40cb-95c9-bda8e1a8f7ac, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: what is my best selling product and why ??
Session ID: f276a266-527a-48f6-96b1-4077da1c4ebd, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: what is my best selling product and why ??
Session ID: 17a52e3b-4916-48c6-bb6b-4cbd1a378798, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 98bbef28-697f-40a4-9f1b-8fefeb3e066b, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 386b424e-70e2-425b-bca8-1fab93f1f55b, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: a2e32ce2-8909-4a53-abb5-16522f8e3959, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 27dbde98-9b7e-486b-a40b-fad7e0d5d404, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 0dfce42f-9b6c-400e-998b-eac48ab4ae0d, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 91995be4-9ebf-4ca5-9bba-01a886e8b3d0, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: e4954eff-1650-4710-8cf4-c96a8e12c998, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: b28ef6e5-b67d-467d-af81-1c4a6d665895, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Summarize review sentiment
Session ID: c666683c-a460-4232-b12a-5ff4aec60344, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 9c9416ce-4b68-4529-8ed1-a0c5648b6d42, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: what is my best selling sku
Session ID: 2cbc761f-f149-4985-80db-d9820817aad6, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: cbee455a-4479-480e-8031-b32c9607223b, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 134c5645-e9ae-42ac-9b4d-d5d9c1e8eb38, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 63c1a7b3-32a2-4757-ba7b-1483f6e36319, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 9ce51d0e-0347-460b-ab40-429dd32bbcce, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 0560baf7-d59b-4ef1-85b1-827b770dd927, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 1ab2655a-6e2f-445c-ac00-ee12c1f76f41, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 514955d2-6c45-488f-a9d8-f4b45020ecc2, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: ab227789-eadd-402e-8efe-9973574eed6a, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 2da4f0d8-ed40-43e0-abaa-2d8f7cf57cf4, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: 99728bd3-d709-4240-a5e2-f564b28254ea, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: Top complaints for my best-selling SKU
Session ID: ce46aaed-56e3-4f44-8524-4c2d2eb0eab9, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: what is my most ordered product. state with good reasons. also explain if it's better than my competitor's.
Session ID: d4295747-125c-4711-8493-15c7a67ab115, User ID: 568e8195-6e3d-4729-99bd-fabc48dab580, Query: what is my most ordered product. state with good reasons. also explain if it's better than my competitor's.
Session ID: 6564d08f-e59b-482c-b162-e939d3e7c414, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: best selling product
Session ID: 82f4ce32-5af2-441b-982e-50ea83291dff, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many customers do i have listed??
Session ID: d2b04079-d895-4806-84f7-fffdf554ea23, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: list all the products that are out of stock

Session ID: 20dcc8bc-d395-407d-be40-2744431d50ee, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: what is the total no of products in my inventory
Session ID: d83c8f33-9731-4f9d-ab53-8eb152bb5ea0, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: total no of products??
Session ID: d1e39953-732d-4203-8b5d-548d2963c852, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have ??
Session ID: 6e944822-23d4-47cb-8439-5bdeee6278bc, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have ??
Session ID: 98586260-4876-45db-ba1f-7b8036140207, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have listed??
Session ID: a37a15c5-61f8-4946-b0fd-339c72ecb6f5, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many customers do i have listed??
Session ID: 72c79776-dc83-4a24-9e51-1c9eb50ac822, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have??
Session ID: 5218341e-b688-46f4-85b0-98b304137bc6, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have??
Session ID: c22f0982-e38c-4721-bb48-5f5ae0c0d0af, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have?
Session ID: 367b7cbf-992b-4b8f-9c3f-366c1e5d0ac9, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many products do i have?
Session ID: 255af29f-7728-47a2-8812-aabad490b5b1, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: how many categories of products do i have

Session ID: 3549a14d-d90d-4cda-bce6-7418c5304550, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: divide my products into categories and tell me how many categories can be made according to you

Session ID: adb70669-3a79-4a20-b209-8da5d2f9b28b, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: divide my products into categories and tell me how many categories can be made according to you

Session ID: ac6637b1-37de-4f71-bb87-eb7c764a27ca, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: Top complaints for my best-selling SKU
Session ID: ef50a7ba-ead0-41cc-867c-1114c4a704b9, User ID: 365f6651-2343-43cf-b175-110b4c3b3360, Query: why is my best selling sku underperforming??
Session ID: 2cceba86-7d71-44dd-b7ab-2f4b8eb3eae9, User ID: default-user, Query: health test query
