sku,name,category,price,rating,inventory,sales_volume
14aa47b7fe5c,Product 14aa47b7,bed_table_bath,71.99,5.0,100,1
d03bd02af9ff,Product d03bd02a,furniture_decoracao,69.9,5.0,100,1
8ba4f2a4ae69,Product 8ba4f2a4,domestic_utilities,69.9,5.0,100,1
5f504b3a1c75,Product 5f504b3a,cool_stuff,642.3,5.0,100,1
5eaa343860dc,Product 5eaa3438,sport_leisure,1090.0,5.0,100,1
bfc1d1c62b1f,Product bfc1d1c6,sport_leisure,99.9,4.0,100,1
e586ebb60222,Product e586ebb6,beauty_health,64.9,4.0,100,2
a3c95dc653d9,Product a3c95dc6,bed_table_bath,180.0,5.0,100,1
0992c6cba95a,Product 0992c6cb,garden_tools,405.99,5.0,100,1
3a6a0247ced9,Product 3a6a0247,beauty_health,126.0,1.0,100,1
adf591c625cb,Product adf591c6,beauty_health,32.0,1.0,100,1
723f62c36c29,Product 723f62c3,watches_gifts,65.0,1.0,100,1
c12b64bf0861,Product c12b64bf,sport_leisure,49.9,5.0,100,2
6f0169f259bb,Product 6f0169f2,house_construction,119.85,3.5,100,2
b6f3b8136ba8,Product b6f3b813,pet_shop,399.0,5.0,100,1
2be2be0a6a59,Product 2be2be0a,domestic_utilities,24.2,5.0,100,2
c5fb7fbe39f4,Product c5fb7fbe,signaling_and_safety,44.9,3.0,100,1
ad67f7468294,Product ad67f746,bed_table_bath,99.88,4.0,100,1
f2396540fbfa,Product f2396540,bed_table_bath,109.0,5.0,100,1
bcd58b852a3b,Product bcd58b85,cool_stuff,132.0,5.0,100,1
dd768d259ee6,Product dd768d25,bed_table_bath,29.99,4.0,100,1
43b6d9e46e1e,Product 43b6d9e4,garden_tools,879.0,4.0,100,1
df473738565b,Product df473738,construction_tools_tools,23.4,5.0,100,1
a85543a371d5,Product a85543a3,domestic_utilities,16.9,4.0,100,1
701ff123e908,Product 701ff123,cool_stuff,395.0,3.0,100,1
1b37262ebd13,Product 1b37262e,pet_shop,735.0,5.0,100,1
3fc3d637781e,Product 3fc3d637,electronics,32.9,4.5,100,4
7207700449f2,Product 72077004,consoles_games,81.9,5.0,100,3
1ba7948f3aa3,Product 1ba7948f,toys,139.99,5.0,100,1
d394d3021587,Product d394d302,sport_leisure,34.0,5.0,100,2
98190f6a2c32,Product 98190f6a,electronics,75.6,5.0,100,1
71c808620fa8,Product 71c80862,sport_leisure,43.9,5.0,100,2
23ab7bb9eac8,Product 23ab7bb9,bed_table_bath,29.99,4.0,100,1
78119fbfa709,Product 78119fbf,cool_stuff,189.0,5.0,100,2
9138555a5066,Product 9138555a,construction_tools_lighting,79.9,5.0,100,1
3c883b9d3fd2,Product 3c883b9d,bed_table_bath,55.0,5.0,100,4
622d3b263cd4,Product 622d3b26,you drink,14.99,3.0,100,1
c6336fa91fbd,Product c6336fa9,sport_leisure,49.9,4.7,100,6
fe9184887637,Product fe918488,construction_tools_construction,40.9,5.0,100,1
e83ded7d97b9,Product e83ded7d,garden_tools,44.0,5.0,100,1
c4344f6de69a,Product c4344f6d,consoles_games,60.03,2.0,100,1
63f7cd799731,Product 63f7cd79,fashion_bags_e_acessorios,39.9,3.0,100,2
afce90df29b9,Product afce90df,telephony,14.5,4.0,100,1
ad19bca6e0f1,Product ad19bca6,general_interest_books,44.9,5.0,100,2
f72379337062,Product f7237933,furniture_decoracao,99.0,4.5,100,2
24f9f9914848,Product 24f9f991,furniture_decoracao,59.9,5.0,100,1
15571dce56ff,Product 15571dce,sport_leisure,64.89,1.0,100,1
c5c66926b3f9,Product c5c66926,sport_leisure,25.99,1.0,100,1
a8bb7885faf3,Product a8bb7885,sport_leisure,109.0,5.0,100,1
89904bec2719,Product 89904bec,beauty_health,49.9,5.0,100,1
97250c682244,Product 97250c68,domestic_utilities,20.0,5.0,100,1
17da5d80ea0e,Product 17da5d80,drinks,44.49,3.0,100,1
9d0a2db5144d,Product 9d0a2db5,bed_table_bath,12.25,5.0,100,1
05d7deab2f99,Product 05d7deab,fashion_bags_e_acessorios,109.9,5.0,100,1
9f22d89800e8,Product 9f22d898,beauty_health,71.0,5.0,100,1
80a96c144008,Product 80a96c14,domestic_utilities,104.97,3.0,100,2
4732ecf5e4ab,Product 4732ecf5,automotive,189.0,5.0,100,1
1dce3fd38c13,Product 1dce3fd3,automotive,229.99,3.5,100,2
4e80e5fbd1f7,Product 4e80e5fb,watches_gifts,124.9,5.0,100,1
6a23ae3187f1,Product 6a23ae31,furniture_decoracao,35.0,5.0,100,2
37c8b2425c9c,Product 37c8b242,cool_stuff,95.9,5.0,100,1
5ec9cc4e1217,Product 5ec9cc4e,automotive,1788.0,3.0,100,1
af8215adef2d,Product af8215ad,watches_gifts,510.99,5.0,100,1
0eb8e03d4ef8,Product 0eb8e03d,furniture_decoracao,29.99,4.0,100,2
bdb0b11a36ae,Product bdb0b11a,telephony,1099.0,4.0,100,1
f303e2cdf096,Product f303e2cd,bed_table_bath,56.99,4.0,100,1
3e12358032a6,Product 3e123580,domestic_utilities,126.98,4.0,100,1
afb0d399cb1d,Product afb0d399,telephony,94.99,5.0,100,1
5e6248437b26,Product 5e624843,garden_tools,149.97,4.5,100,2
d48782d1a53a,Product d48782d1,construction_tools_construction,178.2,4.0,100,2
f50df9b142a6,Product f50df9b1,toys,106.9,5.0,100,2
e792f2bb275b,Product e792f2bb,perfumery,186.6,4.0,100,1
bdf5efab9b8b,Product bdf5efab,technical_books,14.95,3.0,100,1
b415213dee0b,Product b415213d,fashion_bags_e_acessorios,147.79,5.0,100,1
913dfadde395,Product 913dfadd,informatica_acessorios,24.9,4.5,100,2
c20e9c8a7361,Product c20e9c8a,beauty_health,79.0,5.0,100,1
2b250e4c796f,Product 2b250e4c,musica,52.61,5.0,100,1
0fa0bd7ef862,Product 0fa0bd7e,musical_instruments,94.8,5.0,100,1
c293414ca6da,Product c293414c,toys,93.9,4.0,100,1
e834949329e7,Product e8349493,stationery shop,53.0,5.0,100,2
f7740e5b4337,Product f7740e5b,beauty_health,536.9,4.3,100,3
a928a2cfd4d8,Product a928a2cf,bed_table_bath,89.0,5.0,100,1
3932e37f1f65,Product 3932e37f,bed_table_bath,51.9,3.0,100,2
d6637aee74ba,Product d6637aee,beauty_health,169.0,4.0,100,1
9b393d336031,Product 9b393d33,beauty_health,47.49,1.0,100,1
fddede0d4854,Product fddede0d,automotive,78.9,4.0,100,1
2c71e9b98456,Product 2c71e9b9,electronics,111.9,5.0,100,2
003128f98147,Product 003128f9,sport_leisure,99.98,5.0,100,1
3ac52f93c229,Product 3ac52f93,informatica_acessorios,43.89,5.0,100,1
375478581c97,Product 37547858,you drink,401.7,5.0,100,1
3099fd60323d,Product 3099fd60,beauty_health,28.99,4.0,100,1
e4f7023069a2,Product e4f70230,informatica_acessorios,30.0,5.0,100,1
1965752f8e30,Product 1965752f,food,48.89,4.0,100,3
74291f20821e,Product 74291f20,perfumery,249.9,1.0,100,1
eb6913790ee6,Product eb691379,pet_shop,29.9,4.0,100,2
675dbd52c3da,Product 675dbd52,you drink,149.9,4.0,100,1
665839d5bdf6,Product 665839d5,toys,58.0,5.0,100,1
0f8977d115c5,Product 0f8977d1,bed_table_bath,169.9,4.0,100,1
31d6f0a621ee,Product 31d6f0a6,watches_gifts,35.0,5.0,100,2
