sku,your_price,competitor_name,competitor_price,date
437c05a395e9,50.75,Seller_indaiatuba,49.98,2018-08-16
50e9e70a21b8,34.0,Seller_sao paulo,33.99,2018-08-18
595fac2a385a,116.9,Seller_sao goncalo,117.0,2018-08-21
6f3b5b605d91,154.6,Seller_ribeirao preto,156.67,2018-08-18
727a46f0b58a,19.49,Seller_vicente de carvalho,19.9,2018-08-10
7f72a8900b3d,66.41,Seller_araguari,64.99,2018-08-11
89321f94e35f,29.66,Seller_videira,59.88,2018-08-07
8c292ca193d3,185.0,Seller_franca,184.0,2018-08-18
9759a740aa84,19.0,Seller_sao paulo,17.0,2018-08-21
d48782d1a53a,178.5,Seller_sao jose dos campos,177.9,2018-08-07
dbaee28f4ee6,55.9,Seller_guarulhos,54.0,2018-08-22
e0d64dcfaa3b,145.0,Seller_ribeirao preto,146.01,2018-08-14
eb6511e81e85,89.0,Seller_jacarei,89.0,2018-08-14
ec5a5cf28e0f,49.9,Seller_novo hamburgo,43.75,2018-08-18
f9b0ee95ce8b,28.0,Seller_praia grande,27.89,2018-08-22
fb19ac22e32d,211.05,Seller_novo hamburgo,229.9,2018-08-07
