sku,rating,review_text,date,verified_purchase
7ae27ce0834f,5,I recommend the seller...,2018-08-17,True
7ae27ce0834f,5,I recommend the seller...,2018-08-17,True
f582884ed8bb,5,"I hope to receive it this week, which wouldn't be so extravagant, however... any more delay than that would make me give up on baratheon.",2018-08-26,True
629e019a6f29,5,I recommend,2018-08-22,True
c5e19a898511,1,The store advertises one product and delivers another.,2018-08-24,True
bdc3291ab242,5,very good and fast when I saw it it had already arrived,2018-08-23,True
bdc3291ab242,5,very good and fast when I saw it it had already arrived,2018-08-23,True
826f5b971a30,5,Delivery well before the perfect deadline!!,2018-08-14,True
0366dd798c6d,4,Everything fast and efficient.,2018-08-12,True
5403528d987a,1,"Good Night

It's regrettable, this store I've made so many purchases and today doesn't even give me the satisfaction of a watch worth 50.00 reais... a defective product and until now it hasn't given me a response",2018-08-23,True
d7252737cad4,2,I thought the backpack was a more resistant material.,2018-08-22,True
06f2166336fa,5,I had excellent after-sales through Mr Renato,2018-08-24,True
35afc973633a,5,I am completely satisfied with my purchase. And I recommend it. The only thing I don't agree with is the shipping cost. Autíssimo.,2018-08-21,True
c025fc620500,5,Perfect delivery and product!,2018-08-24,True
d5edb235c490,5,bom,2018-08-21,True
a7216be504e1,5,Great fast delivery THANK YOU,2018-08-25,True
8934769521d6,2,I think there should be a way to communicate with the company if the order was not delivered,2018-08-31,True
a783f0d718c2,4,"Came as advertised, simple and beautiful.",2018-08-31,True
f8077831f3c3,4,I love shopping at Lannister stores,2018-08-31,True
69455f41626a,5,I received the product which is fake I want my money back,2018-08-18,True
69455f41626a,5,I received the product which is fake I want my money back,2018-08-18,True
4f0abfbee756,5,Provision of high quality services,2018-08-21,True
dec0886d6479,1,Order was canceled and the store still sent the product. I returned the product and want the purchase refunded to my credit card.,2018-08-30,True
70c9d38055bb,5,"So far everything is perfect, product and delivery on time",2018-08-16,True
2f5895fbda5c,5,Merchandise as ordered. It arrived before the deadline. I recommend!,2018-08-30,True
368c6c730842,5,"Congratulations to the Lannister store and the partner, my product came well packaged and it is very beautiful and big, just the way I wanted.
The brown color is as shown in the photo. I loved my pendant.",2018-08-23,True
4c3ae5db4925,5,Wonderful,2018-08-16,True
3c61c2007c26,1,I have already contacted Lannister by phone and they tell me that they will send me a direct link to the partner so I can find out details about the delivery of the account and that link did not come. Terrible customer support,2018-08-16,True
b6f3b8136ba8,5,"Arrived before expected date, everything ok",2018-08-16,True
b81e20325ffc,5,Delivery on time and product in excellent condition,2018-08-14,True
003128f98147,5,"Great product, very fast delivery!",2018-08-30,True
d9dcf0fed59f,4,"In general, the product is good, however, the sound is very low, which makes it a medium quality product.",2018-08-28,True
def080e33b38,5,Thank you very much,2018-08-18,True
783caabd539c,4,"arrived, thank you
but the box, the packaging
crumpled and it's a gift.",2018-08-15,True
12a146749cb7,5,Delivery ahead of schedule - Excellent,2018-08-15,True
ad979ca019f5,5,Great product. .. arrived earlier than expected.,2018-08-28,True
73326828aa5e,5,"Great, everything went fine 
note 10.",2018-08-17,True
06f756df8d80,5,Great product and arrived ahead of schedule,2018-08-19,True
72ba1b1e37ca,5,arrived before the deadline,2018-08-23,True
9806189f9cb6,5,"VERY GOOD VACUUM CLEANER, LIGHT AND EASY TO HANDLE!",2018-08-28,True
2c71e9b98456,5,"I recommend everyone to buy products at Lannister, my purchase was delivered satisfactorily and on time.",2018-08-21,True
91846781ef75,4,Easy to use and understand purchasing operating system. Fast delivery and the meters purchased correspond to the advertisement. I would buy again.,2018-08-17,True
092be1e8336f,5,Everything as agreed.,2018-08-30,True
ec242882027e,3,"It arrived very quickly and looks good, I'll only find out with use, the cover for the 3-seater sofa came a little smaller, the width was 1.46, but the 2-seater sofa was the right size.",2018-08-29,True
027cdd14a677,4,"I didn't give it a 5 because it didn't come in the same packaging. White packaging prohibited for sale, but on the other hand the price was good",2018-08-21,True
c804537dd3a8,5,Ok,2018-08-22,True
eb048e296b8d,5,Ok,2018-08-22,True
a1dd59756b92,5,Ok,2018-08-22,True
113f80f12c88,5,Ok,2018-08-22,True
e673e90efa65,5,"I received it before the delivery date, the American is to be congratulated, the carpet is very good, beautiful color, I highly recommend it...",2018-08-31,True
962a6951154f,1,"Poorly made product, crooked, with poorly made welds.",2018-08-18,True
09fbb9fc5bff,5,"Everything fine, thank you.",2018-08-31,True
11ae52c87d8e,5,very good,2018-08-29,True
af0a99476d96,1,"My assessment is this because here it appears that I received the product and it has not yet arrived home. Please, I would like to know what is happening???
Sincerely, 
Juliana",2018-08-31,True
e70f7c188cd2,3,"Very bad product, you can't even see the time properly because the number is so small, you can hardly see it properly",2018-08-16,True
da17d63dff29,5,"Very good cell phone, I liked it very quickly and super light, I recommend it.",2018-08-14,True
abef8cc12c64,5,"I haven't tested it yet, but it arrived ahead of schedule.",2018-08-23,True
c6336fa91fbd,5,The product arrived on time.,2018-08-28,True
6f4ed02e3634,5,Satisfied,2018-08-30,True
2ff995aead9c,2,I haven't received my curtain yet,2018-08-14,True
53a72a0b6fee,2,I haven't received my curtain yet,2018-08-14,True
b35c84798401,5,I recommend purchasing from this store.,2018-08-25,True
8b51c6ccc9c0,5,I highly recommend,2018-08-24,True
49cd59957f1c,1,I bought a Creeper Minecraft plush and the quality is store-bought for 1.99. When you call SAC you cannot speak to anyone.,2018-08-29,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
be0dbdc3d67d,1,"I bought 6 cartridges, only received 4 units after the delivery date, and to this day I'm trying to get in touch for a solution, but to no avail.",2018-08-24,True
3ae3ff1822de,3,"The product description states that it has a 100% cotton upper and lower fabric, but in fact they are 80% cotton 20% polyester.
False advertising.",2018-08-31,True
8ea2105f9dac,1,I have already requested an exchange but so far nothing. They sent the wrong product and now they say that the exchange cannot be made.,2018-08-18,True
2b4042dfabc3,4,I have not received a response so far,2018-08-16,True
4a78f5e17416,5,"THE PRODUCT CAME WITH AN EXPIRY IN DECEMBER, I PURCHASED OTHERS WITH AN EXPIRY OF 2 YEARS.",2018-08-15,True
d2f5484cbffe,1,"The product arrived on time and intact, but it doesn't work. I put the car vacuum cleaner with socket for the cigarette lighter in the device already connected to the socket and nothing, it doesn't work. Although 12v",2018-08-30,True
cbf96c04205d,5,"I RECEIVED IT AHEAD OF TIME, GREAT PRODUCT, WELL PACKAGED.",2018-08-30,True
755073cc68bc,3,bom,2018-08-22,True
755073cc68bc,3,bom,2018-08-22,True
f361fccba568,5,NAKJSK,2018-08-31,True
86ecc269de40,2,Different charger than the one in the photo and it is parallel!,2018-08-24,True
cc1829caca18,5,Kidnaps,2018-08-30,True
e0d64dcfaa3b,5,"Everything ok, it arrived on time and everything was ok",2018-08-21,True
7207700449f2,5,EVERYTHING OK,2018-08-11,True
7207700449f2,5,EVERYTHING OK,2018-08-11,True
7207700449f2,5,EVERYTHING OK,2018-08-11,True
389d119b48cf,5,"The lamp is very beautiful, it met my expectations. It arrived quickly",2018-08-11,True
78f29023586e,5,"Delivery on time, the correct product, well packaged and in good condition.",2018-08-22,True
da2a3bd20550,5,I recommend it and a good product,2018-08-16,True
532d726c377c,5,"It was delivered well ahead of schedule, I was surprised at how quick it was",2018-08-19,True
04e90f954f5f,5,Delivery within the established deadline. Product in excellent condition. Excellent product itself!,2018-08-18,True
d011223de539,2,"Product came without an important part to attach the pendant to the ceiling. I had to ""turn around"" to get a similar piece that is not the same as the one shown in the photo in the ad. I consider False Advertising.",2018-08-17,True
a02d0123079f,4,I liked the service and delivery time,2018-08-21,True
8d165e4e114b,5,Successful purchase. I loved the product,2018-08-16,True
6a23ae3187f1,5,"Excellent product, low cost, that is, it combines the useful with the pleasant.",2018-08-24,True
6a23ae3187f1,5,"Excellent product, low cost, that is, it combines the useful with the pleasant.",2018-08-24,True
fb8ec7f31240,1,They did not deliver the sheets purchased,2018-08-14,True
9e47ae55f932,1,They did not deliver the sheets purchased,2018-08-14,True
b833b995cadd,5,EFFICIENT!!!,2018-08-31,True
b9471cbef91a,5,"Great service, I liked it",2018-08-30,True
05d59e1191b8,5,Arrived before expected date...Actual tracking update.,2018-08-28,True
cf492edce9b4,5,Product very well packaged and everything correct.,2018-08-29,True
1eacd4448500,4,"Quality products, delivered ahead of schedule.",2018-08-29,True
23d625ed972e,1,My purchase is incomplete. The whip is missing. I try to call and there is only a recording and I cannot speak to the attendant.,2018-08-14,True
fcf397949193,1,My purchase is incomplete. The whip is missing. I try to call and there is only a recording and I cannot speak to the attendant.,2018-08-14,True
89ea72335f0b,4,Delivery on time and highly recommended seller,2018-08-17,True
afeeea627114,5,Satisfactory is the word that defines my shopping experience with this store. Thank you for your service. You can operate in the market with this level of commitment.,2018-08-29,True
1dce3fd38c13,2,"I received the product, I haven't used it yet so I can't qualify it",2018-08-29,True
f6a4dc24146f,5,Product delivered ahead of schedule,2018-08-28,True
cbfdbf24b32d,1,"Company simply did not deliver the product, I was unable to cancel the purchase and was charged... I demand an immediate solution and refund of the amounts.",2018-08-22,True
1e2841e311d4,5,"the jacket is great, very beautiful! Too bad it was too small but I already asked to exchange it for a bigger one.",2018-08-24,True
9c8d6227bbe6,4,"the blue color of the cover is very faded and in the photo it was very bright, otherwise everything is ok,",2018-08-18,True
a93ad1220243,3,"the compared products were delivered ahead of schedule.
But the shipping cost is very high.",2018-08-18,True
